id,name,"description"
THMSC18,Futurism,"imagining or promoting progress in technology and society"
THMSC19,Cosmos,"the universe as a vast, ordered system"
THMSC20,Fantasy,"imagining worlds or scenarios beyond reality"
THMSC21,SciFi,"exploring futuristic or speculative ideas, often grounded in science"
THMSC22,Apocalypse,"the end of the world, often marked by catastrophe"
THMRL11,Animals,"non-human creatures, often evoking companionship or curiosity"
THMRL12,Youth,"the early stages of life, full of energy and potential"
THMRL13,Childhood,"a time of innocence, wonder, and growth"
THMRL14,Innocence,"purity of mind or actions, untouched by experience or harm"
THMRL15,Carefree,"living without concern or burden, often associated with youth"
THMRL16,Teenage,"a phase of self-discovery and grappling with identity"
THMRL17,Friendship,"a bond of trust and affection with someone outside the family"
THMRL18,Family,"a group of people connected by blood, love, or shared experiences"
THMRL19,Siblinghood,"the unique relationship between brothers and sisters"
THMRL20,Adulthood,"the phase of maturity, responsibility, independence, and self-sufficiency"
THMRL21,Parenthood,"raising and nurturing children, often with sacrifices"
THMRL22,Lifecycle,"the stages of existence from birth to death"
THMRL23,Legacy,"what one leaves behind for others after they're gone"
THMHM11,Health,"the state of physical, mental, and emotional well-being"
THMHM12,Healing,"the process of recovering from physical or emotional pain"
THMHM13,Death,"the end of life, often evoking fear, grief, or reflection"
THMHM14,MentalIllness,"struggles related to mental health, such as anxiety or depression"
THMHM15,Psychosis,"losing touch with reality, often due to mental illness"
THMHM16,Madness,"extreme irrationality or instability in thoughts or behaviour"
THMHM17,Suicide,"the act of ending one's life, often tied to deep despair"
THMCM11,Chance,"the randomness of events or opportunities"
THMCM12,Destiny,"a predetermined course of events, often seen as inevitable"
THMCM13,Miracle,"an extraordinary event defying natural explanation"
THMCM14,Decision,"the act of making a choice, often shaping outcomes"
